;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Destino;;;;;;;;;;;;;;;;;;;;;;;;;;
Origem;;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
;AC;E4;6;3;5;6;6;5;6;5;5;5;3;4;5;6;6;5;5;6;6;1;4;5;5;6;5;5
;AL;6;E4;6;5;1;2;4;3;4;3;4;4;5;4;1;1;2;5;4;1;6;6;5;5;1;4;5
;AM;3;6;E4;4;5;5;4;5;5;4;5;4;4;3;5;5;4;5;5;5;2;2;6;6;5;5;4
;AP;5;5;4;E4;5;4;4;5;5;3;5;5;5;1;5;5;3;6;5;4;5;4;6;6;5;5;3
;BA;6;1;5;5;E4;3;3;2;4;3;3;4;4;4;2;2;3;4;3;2;5;6;5;4;1;4;4
;CE;6;2;5;4;3;E4;4;4;4;1;4;5;5;3;1;1;1;5;5;1;5;5;6;6;2;5;5
;DF;5;4;4;4;3;4;E3;3;1;4;1;2;2;4;4;4;3;3;2;4;4;5;4;3;3;2;1
;ES;6;3;5;5;2;4;3;E4;4;4;1;3;4;5;4;4;4;3;1;4;5;6;4;3;3;2;4
;GO;5;4;5;5;4;4;1;4;E4;4;2;2;2;4;4;4;4;4;3;5;4;5;4;4;4;3;1
;MA;5;3;4;3;3;1;4;4;4;E4;4;5;4;1;3;3;1;5;5;3;5;4;6;5;3;5;5
;MG;6;4;5;6;2;4;1;2;2;4;E3;2;3;4;4;4;5;2;1;5;5;6;3;2;4;1;4
;MS;3;4;4;5;4;5;2;3;2;5;2;E4;1;5;5;5;5;2;2;5;3;5;3;2;4;2;3
;MT;4;5;4;5;4;5;2;4;2;4;4;1;E4;4;5;5;4;3;4;5;3;5;4;4;5;4;3
;PA;5;4;3;1;4;3;4;5;4;1;5;5;4;E4;4;4;2;5;5;4;4;4;6;6;4;5;2
;PB;6;1;5;5;2;1;4;4;4;3;4;5;5;4;E4;1;2;5;4;1;6;6;6;5;1;5;5
;PE;6;1;5;5;2;1;4;4;4;3;4;5;5;4;1;E4;2;5;4;1;6;6;6;5;1;5;4
;PI;5;2;4;3;3;1;3;4;4;1;4;5;4;2;2;2;E4;5;4;2;5;5;6;5;4;5;5
;PR;5;5;5;6;4;5;3;3;4;5;2;2;3;5;5;5;5;E3;2;5;5;6;1;1;5;1;4
;RJ;6;4;5;5;3;4;1;1;2;4;1;2;3;5;4;4;4;1;E2;4;4;6;2;2;3;1;3
;RN;6;1;5;4;2;1;4;4;5;3;4;5;5;4;1;1;2;5;5;E4;6;6;6;5;2;5;5
;RO;1;6;2;5;5;5;4;5;4;5;5;3;3;4;6;6;5;5;5;6;E4;3;5;5;6;5;5
;RR;4;6;2;4;6;5;5;6;5;4;6;5;5;4;6;6;5;6;6;6;3;E4;6;6;6;6;4
;RS;5;5;6;6;5;6;4;4;4;6;4;3;4;6;6;6;6;1;3;6;5;6;E3;1;5;2;5
;SC;5;5;6;6;4;6;3;3;4;5;3;2;4;6;5;5;5;1;2;5;5;6;1;E4;5;1;4
;SE;6;1;5;5;1;2;3;3;4;3;3;4;5;4;1;1;4;5;4;2;6;6;5;5;E4;4;5
;SP;5;4;4;4;2;3;1;1;1;4;1;1;2;3;4;3;4;1;1;4;4;5;1;1;4;E1;3
;TO;5;5;4;3;4;5;1;4;1;5;3;3;3;2;5;4;5;4;3;5;5;4;5;4;5;3;E4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Os destinos nacionais: Capitais (N) e Interior (I) - de acordo com a definição das cidades - serão cobrados conforme referência numérica acima e as;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"indicações N1 a N4 e I1 a I4 constantes da Guia ""0466-9 - Preços PAC"" e ""0416-2 - Preços SEDEX"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;
